zcta,population,sdi_score,fpl_100_score,sing_parent_fam_score,black_score,dropout_score,no_car_score,rent_occup_score,crowding_score,nonemp_score,unemp_score,highneeds_score,hisp_score,foreignb_score,lingisol_score,percnt_ltfpl100,percnt_singlparntfly,percnt_black,percnt_dropout,percnt_hhnocar,percnt_rentoccup,percnt_crowding,percnt_nonemp,percnt_unemp,percnt_highneeds,percnt_hispanic,percnt_frgnborn,percnt_lingisol
21627,21,19,1,1,1,87,97,1,1,1,1,100,1,1,1,0.00,0.00,0.00,23.81,33.33,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
21628,684,61,89,88,58,62,1,22,94,1,1,1,1,1,1,27.78,28.48,6.73,13.91,0.00,22.11,11.23,0.00,0.00,26.32,0.00,0.00,0.00
21629,9544,61,56,77,74,69,61,37,49,41,41,55,39,15,10,14.99,23.55,13.82,15.77,7.09,27.94,2.09,7.04,6.56,40.50,5.65,2.07,0.14
21631,2451,24,21,42,57,56,29,4,7,61,61,41,18,26,1,7.18,15.67,6.41,12.36,3.86,10.57,0.30,8.86,7.72,39.58,2.45,3.67,0.00
21632,6001,83,83,86,85,75,63,62,77,84,84,32,21,26,29,23.81,26.97,23.73,17.90,7.45,38.12,4.52,12.03,9.26,38.89,2.77,3.63,0.98
21634,337,59,61,1,1,100,88,38,97,1,1,100,89,99,92,16.32,0.00,0.00,52.86,14.56,28.16,14.56,0.00,0.00,64.39,45.70,50.45,14.56
21635,2389,31,8,28,45,65,55,35,56,16,16,74,61,35,35,4.61,13.00,3.93,14.54,6.37,27.00,2.48,4.99,3.21,41.98,12.22,5.19,1.30
21636,1106,30,42,26,69,58,36,25,10,25,25,67,58,34,24,11.49,12.72,10.85,12.84,4.51,23.31,0.50,5.75,4.70,41.41,10.85,5.06,0.75
21638,4920,17,35,21,68,12,45,10,60,4,4,35,29,29,26,10.00,11.78,10.41,4.41,5.36,15.97,2.73,3.22,3.59,39.17,3.88,4.17,0.82
21639,4482,56,26,80,60,66,65,57,15,79,79,80,27,17,30,8.26,24.45,7.12,15.06,7.68,35.79,0.70,11.04,10.97,42.59,3.66,2.30,1.02
21640,1434,47,75,2,56,92,57,3,8,70,70,48,26,16,31,20.78,5.25,6.00,27.80,6.64,9.34,0.36,9.86,10.11,40.03,3.49,2.09,1.08
21641,84,39,48,31,1,48,57,66,1,1,1,100,18,25,1,13.10,13.64,0.00,10.71,6.67,40.00,0.00,0.00,0.00,52.38,2.38,3.57,0.00
21643,5147,61,68,54,88,79,60,28,20,80,80,14,36,38,46,18.42,17.83,28.27,19.62,7.03,24.36,0.90,11.38,7.56,36.93,5.11,5.81,1.94
21644,177,14,1,1,1,24,1,99,1,1,1,1,1,1,1,0.00,0.00,0.00,6.41,0.00,87.80,0.00,0.00,0.00,2.82,0.00,0.00,0.00
21645,971,26,56,13,65,70,13,10,1,2,2,11,28,43,59,15.14,9.96,8.86,16.22,2.31,16.18,0.00,2.46,0.00,36.56,3.71,6.80,3.18
21647,212,7,1,30,78,43,1,4,1,1,1,83,21,1,1,0.00,13.41,16.51,9.71,0.00,10.89,0.00,0.00,0.00,42.92,2.83,0.00,0.00
21648,308,54,24,100,43,73,90,9,1,100,100,79,17,38,1,7.93,47.06,3.57,17.21,16.35,15.38,0.00,30.40,27.34,42.53,2.27,5.84,0.00
21649,1847,79,93,47,17,100,64,44,99,35,35,3,90,89,99,31.37,16.58,0.87,46.95,7.51,30.64,18.88,6.54,6.27,33.19,47.32,31.19,31.79
21650,70,4,1,1,1,1,1,63,1,1,1,99,1,1,1,0.00,0.00,0.00,0.00,0.00,38.64,0.00,0.00,0.00,51.43,0.00,0.00,0.00
21651,3010,48,31,64,76,78,34,10,57,83,83,35,57,53,59,9.26,19.93,14.85,19.01,4.31,16.16,2.55,11.82,7.12,39.10,10.47,9.27,3.13
21652,190,48,76,32,1,56,1,42,1,100,100,100,1,57,1,21.05,13.79,0.00,12.29,0.00,29.90,0.00,50.00,69.23,95.79,0.00,10.53,0.00
21653,66,23,15,68,1,72,1,9,1,1,1,100,53,53,1,6.06,21.05,0.00,16.67,0.00,15.63,0.00,0.00,0.00,69.70,9.09,9.09,0.00
21654,1046,18,52,40,40,1,7,37,1,3,3,100,2,24,1,14.15,15.26,3.06,0.35,1.66,27.81,0.00,3.06,6.63,57.36,0.19,3.35,0.00
21655,5170,14,29,5,69,29,17,18,9,40,40,31,5,20,27,8.82,7.33,10.75,7.17,2.76,20.23,0.43,6.90,5.80,38.86,0.87,2.75,0.87
21657,982,62,86,58,86,48,30,26,90,74,74,2,1,1,1,25.66,18.60,25.25,10.49,3.91,23.84,8.54,10.33,5.16,31.57,0.00,0.00,0.00
21658,3589,14,23,21,41,15,29,4,56,27,27,33,37,28,21,7.75,11.84,3.15,4.89,3.84,11.46,2.47,5.96,5.63,38.98,5.24,3.90,0.62
21659,1492,37,32,2,85,76,31,21,51,98,98,18,1,15,1,9.59,5.45,24.26,18.30,4.07,21.86,2.20,18.38,14.19,37.53,0.00,2.08,0.00
21660,4054,56,52,69,80,69,47,48,1,67,67,25,23,12,1,14.06,21.30,17.88,15.87,5.59,32.14,0.00,9.48,8.23,38.33,3.01,1.68,0.00
21661,2581,47,32,32,66,68,84,27,55,68,68,73,14,22,1,9.56,13.82,9.45,15.47,12.17,24.26,2.43,9.54,6.89,41.88,1.98,3.02,0.00
21662,649,21,19,18,70,54,1,21,1,86,86,98,20,38,80,6.78,11.01,11.09,12.05,0.00,21.80,0.00,12.62,7.65,47.46,2.62,5.86,7.52
21663,2909,18,25,14,73,18,43,30,12,50,50,100,22,25,12,8.08,10.33,13.13,5.47,5.14,25.19,0.56,7.74,5.26,56.31,2.96,3.44,0.21
21664,759,46,26,59,1,68,42,21,76,68,68,60,69,34,1,8.30,18.84,0.00,15.54,5.06,21.79,4.28,9.52,10.09,40.84,17.13,5.14,0.00
21665,335,13,2,1,35,59,1,5,1,100,100,96,47,27,1,2.39,0.00,2.39,13.11,0.00,11.72,0.00,28.49,21.05,45.97,7.46,3.88,0.00
21666,11900,3,2,8,38,26,3,4,8,21,21,15,16,26,27,2.60,8.66,2.75,6.73,0.97,10.57,0.40,5.41,5.93,37.14,2.20,3.68,0.90
